"block","date","time","balance"
"3,763,163","2021/10/13 03:09:42 +02:00","1634087382","20997535.4430 RBTC"
"3,762,542","2021/10/12 21:38:46 +02:00","1634067526","20997529.6080 RBTC"
"3,762,153","2021/10/12 18:03:30 +02:00","1634054610","20997529.2580 RBTC"
"3,762,024","2021/10/12 16:51:33 +02:00","1634050293","20997523.9593 RBTC"
"3,762,041","2021/10/12 17:01:47 +02:00","1634050907","20997526.7593 RBTC"
"3,761,754","2021/10/12 14:28:30 +02:00","1634041710","20997524.2244 RBTC"
"3,761,179","2021/10/12 09:28:38 +02:00","1634023718","20997520.5300 RBTC"
"3,760,862","2021/10/12 06:45:22 +02:00","1634013922","20997518.5300 RBTC"
"3,760,734","2021/10/12 05:40:13 +02:00","1634010013","20997548.5300 RBTC"
"3,760,309","2021/10/12 02:15:29 +02:00","1633997729","20997548.5200 RBTC"
"3,760,101","2021/10/12 00:33:23 +02:00","1633991603","20997549.5199 RBTC"
"3,759,946","2021/10/11 23:15:29 +02:00","1633986929","20997547.6699 RBTC"
"3,758,417","2021/10/11 10:06:09 +02:00","1633939569","20997544.6699 RBTC"
"3,758,199","2021/10/11 08:15:51 +02:00","1633932951","20997544.2689 RBTC"
"3,757,851","2021/10/11 05:20:13 +02:00","1633922413","20997554.3589 RBTC"
"3,756,611","2021/10/10 18:37:21 +02:00","1633883841","20997554.0089 RBTC"
"3,755,916","2021/10/10 12:33:50 +02:00","1633862030","20997550.0089 RBTC"
"3,755,745","2021/10/10 11:03:29 +02:00","1633856609","20997547.0289 RBTC"
"3,755,834","2021/10/10 11:50:02 +02:00","1633859402","20997550.0289 RBTC"
"3,753,650","2021/10/09 17:15:40 +02:00","1633792540","20997547.1298 RBTC"
"3,753,150","2021/10/09 12:57:32 +02:00","1633777052","20997546.8298 RBTC"
"3,752,341","2021/10/09 06:06:17 +02:00","1633752377","20997547.1298 RBTC"
"3,751,623","2021/10/08 23:57:28 +02:00","1633730248","20997566.1298 RBTC"
"3,750,983","2021/10/08 18:15:17 +02:00","1633709717","20997565.6293 RBTC"
"3,751,020","2021/10/08 18:36:23 +02:00","1633710983","20997561.1298 RBTC"
"3,750,863","2021/10/08 17:04:56 +02:00","1633705496","20997575.9874 RBTC"
"3,750,899","2021/10/08 17:27:32 +02:00","1633706852","20997565.9833 RBTC"
"3,750,730","2021/10/08 15:48:17 +02:00","1633700897","20997575.8154 RBTC"
"3,750,764","2021/10/08 16:12:00 +02:00","1633702320","20997575.9014 RBTC"
