Ethereum,BSC,Tron,Avalanche,Solana,Polygon,Cronos,Waves,Fantom,Arbitrum,Parallel,Mixin,DefiChain,Klaytn,Kava,Near,Optimism,Aurora,Gnosis,Osmosis,Moonbeam,Elrond,Heco,Fusion,Celo,Bitcoin,Cardano,Acala,EOS,Moonriver,Algorand,RSK,Icon,Ronin,NEO,Astar,Hoo,KCC,Theta,Bifrost,Tezos,Harmony,Binance,Hedera,Telos,Metis,Everscale,Songbird,IoTeX,Oasis,Milkomeda,Wanchain,Karura,Ontology,OKExChain,Stellar,Terra Classic,Godwoken,Terra2,Stacks,Proton,Conflux,Secret,Boba,Kardia,DFK,Sora,Sifchain,Evmos,smartBCH,Vite,ThunderCore,Velas,VeChain,CSC,Fuse,Elastos,Energi,Litecoin,Nuls,Nahmii,Doge,Meter,Syscoin,Callisto,Kadena,Ergo,OntologyEVM,Genshiro,Wax,Bitcoincash,ORE,ICP,TomoChain,Obyte,Hydra,EnergyWeb,Lamden,XDC,Shiden,Findora,Ubiq,CosmosHub,HPB,Stafi,ZYX,EthereumClassic,Lachain,Polis,GoChain,REIchain,Crab,Polkadot,Curio,LBRY,Echelon,MultiVAC,Zilliqa,Kusama,Palm,Ravencoin,SXnetwork,Bittorrent,Ultra,zkSync,Coti,Date
97183654005,26207819064,3525420405,392516451,1404956359,4853817502,0,0,260385115,0,0,0,0,0,298296762,0,0,0,15054226,0,0,0,2158950930,0,683439891,57230269,0,0,0,0,0,0,0,0,236474280,0,0,0,0,0,0,36995410,0,0,0,0,0,0,0,0,0,109578624,0,326766774,0,0,4178077851,0,0,0,0,0,51965962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12137382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160619845,0,0,0,0,0,0,0,0,2021-05-18
88667060976,17122648926,3583382372,407317212,950587932,4811609069,0,0,227963426,0,0,0,0,0,221665289,0,0,0,12432084,0,0,0,2204088716,0,713854726,49434203,0,0,0,0,0,0,0,0,163412862,0,0,0,0,0,0,38146817,0,0,0,0,0,0,0,0,0,82982482,0,206485376,0,0,3364482146,0,0,0,0,0,39793674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9489096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105434905,0,0,0,0,0,0,0,0,2021-05-19
78612759159,15800218925,2773745448,306971908,1060044904,4793555164,0,0,186296843,0,0,0,0,0,237512190,0,0,0,12947248,0,0,0,1869799393,0,523978531,53938818,0,0,0,0,0,0,0,0,205184019,0,0,0,0,0,0,32448690,0,0,0,0,0,0,0,0,0,89131643,0,185621185,0,0,3368769523,0,0,0,0,0,41433041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9962662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136074770,0,0,0,0,0,0,0,0,2021-05-20
75808514296,14485573719,2774736878,303236018,789699649,5038065416,0,0,172928408,0,0,0,0,0,192709966,0,0,0,11776079,0,0,0,2042298624,0,484264663,47484824,0,0,0,0,0,0,0,0,180950877,0,0,0,0,0,0,33389700,0,0,0,0,0,0,0,0,0,80996846,0,209136863,0,0,3066094325,0,0,0,0,0,36245886,0,0,0,0,0,0,0,0,1369990,0,0,0,0,0,9170238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100233906,0,0,0,0,0,0,0,0,2021-05-21
74823859372,14032053635,2700108173,259651796,863183378,5021540705,0,0,110678025,0,0,0,0,0,198339182,0,0,0,11597886,0,0,0,1757857622,0,449958136,50809210,0,0,0,0,0,0,0,0,177533277,0,0,0,0,0,0,27961664,0,0,0,0,0,0,0,0,0,81519264,0,217843953,0,0,2954185215,0,0,0,0,0,36695336,0,0,0,0,0,0,0,0,1560350,0,0,0,0,0,8825175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109136178,0,0,0,0,0,0,0,0,2021-05-22
67214815638,12796423681,2484373070,236137933,722887679,4446520812,0,0,133319973,0,0,0,0,0,176783291,0,0,0,10017119,0,0,0,1835774227,0,360048832,46073506,0,0,0,0,0,0,0,0,141668339,0,0,0,0,0,0,27025703,0,0,0,0,0,0,0,0,0,78192026,0,185658917,0,0,2422512568,0,0,0,0,0,31002304,0,0,0,0,0,0,0,0,1532439,0,0,0,0,0,7716933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84038608,0,0,0,0,0,0,0,0,2021-05-23
65768624751,13474557191,2140558406,202653515,846925352,4435502154,0,0,109846883,0,0,0,0,0,214542997,0,0,0,11022268,0,0,0,1616101620,0,294459794,52088419,0,0,0,0,0,0,0,0,171176242,0,0,0,0,0,0,27727007,0,0,0,0,0,0,0,0,0,82952989,0,210299179,0,0,2615343234,0,0,0,0,0,45548338,0,0,0,0,0,0,0,0,1601634,0,0,0,0,0,9157634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103111546,0,0,0,0,0,0,0,0,2021-05-24
71726739273,13990074454,2399415475,246676511,691017579,5085983705,0,0,125194700,0,0,0,0,0,214149168,0,0,0,11113953,0,0,0,1825746596,0,347803946,52164410,0,0,0,0,0,0,0,0,190511390,0,0,0,0,0,0,31910916,0,0,0,0,0,0,0,0,0,85145861,0,216940472,0,0,2629837230,0,0,0,0,0,36715470,0,0,0,0,0,0,0,0,1552496,0,0,0,0,0,9197055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101129618,0,0,0,0,0,0,0,0,2021-05-25
73786484061,14981178769,2414743414,251237844,955154886,5508724921,0,0,125787693,0,0,0,0,0,231300653,0,0,0,11403508,0,0,0,1717093147,0,327394761,52972228,0,0,0,0,0,0,0,0,210382984,0,0,0,0,0,0,34144085,0,0,0,0,0,0,0,0,0,88023853,0,236081650,0,0,2804233734,0,0,0,0,0,41598384,0,0,0,0,0,0,0,0,1765926,0,0,0,0,0,9473848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116087943,0,0,0,0,0,0,0,0,2021-05-26
78224269203,15069067602,2638659839,261612410,951544950,6161902789,0,0,122840841,0,0,0,0,0,227481138,0,0,0,11515024,0,0,0,1808653164,0,436090568,52697596,0,0,0,0,0,0,0,0,206890473,0,0,0,0,0,0,33028934,0,0,0,0,0,0,0,0,0,87618959,0,231960338,41439932,0,2802201975,0,0,0,0,0,39898570,0,0,0,0,0,0,0,0,1536010,0,0,0,0,0,10547321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112099333,0,0,0,0,0,0,0,0,2021-05-27
